lambda	lamp	measure	lamp/measure	 LambdaCalibSp 	 CalibSpline 	Column 7	Lambda Hammamtsu	 factor interpolated with origin 
784.1128	0.961000372	0.835070674	1.150801245	 631.50   	 398 792.25   		470.957	0.97129
784.9184	0.961869533	0.828380426	1.161144689	 632.00   	 399 424.00   		471.37	0.97189
785.724	0.962720111	0.835572541	1.1521682	 632.50   	 400 056.25   		471.784	0.9722
786.5296	0.963560797	0.844335132	1.141206566	 633.00   	 400 689.00   		472.197	0.97232
787.3352	0.964404986	0.854832676	1.128179833	 633.50   	 401 322.25   		472.61	0.97191
788.1408	0.965266077	0.849062644	1.136860848	 634.00   	 401 956.00   		473.023	0.97121
788.9464	0.966157471	0.829780942	1.164352448	 634.50   	 402 590.25   		473.437	0.97028
789.752	0.967092567	0.817719298	1.182670593	 635.00   	 403 225.00   		473.85	0.96924
790.5576	0.968081494	0.813286347	1.190332897	 635.50   	 403 860.25   		474.263	0.96865
791.3632	0.969099665	0.819528612	1.182508641	 636.00   	 404 496.00   		474.677	0.96822
792.1688	0.970101581	0.83247074	1.165328143	 636.50   	 405 132.25   		475.09	0.96761
792.9744	0.971041452	0.842397756	1.152711347	 637.00   	 405 769.00   		475.504	0.96695
793.78	0.971873487	0.833760217	1.165651067	 637.50   	 406 406.25   		475.918	0.96562
794.5856	0.972551898	0.813234772	1.195905453	 638.00   	 407 044.00   		476.331	0.96417
795.3912	0.973032406	0.796220221	1.222064425	 638.50   	 407 682.25   		476.745	0.96247
796.1968	0.973307946	0.794952063	1.224360551	 639.00   	 408 321.00   		477.159	0.96074
797.0024	0.973410089	0.806207723	1.207393655	 639.50   	 408 960.25   		477.572	0.95964
797.808	0.973372205	0.817881636	1.190113779	 640.00   	 409 600.00   		477.986	0.95856
798.6136	0.973227662	0.815093273	1.194007722	 640.50   	 410 240.25   		478.4	0.95779
799.4192	0.973009827	0.7977107	1.21975276	 641.00   	 410 881.00   		478.814	0.95699
800.2248	0.972752126	0.780195919	1.24680494	 641.50   	 411 522.25   		479.228	0.95575
801.0304	0.972493108	0.77442173	1.255766813	 642.00   	 412 164.00   		479.642	0.9545
801.836	0.972280521	0.781343719	1.244369791	 642.50   	 412 806.25   		480.056	0.95319
802.6416	0.972163072	0.793195227	1.225628999	 643.00   	 413 449.00   		480.47	0.95185
803.4472	0.972189466	0.795233856	1.222520217	 643.50   	 414 092.25   		480.885	0.95041
804.2528	0.972408411	0.790194368	1.230593953	 644.00   	 414 736.00   		481.299	0.94896
805.0584	0.972868602	0.777675739	1.250995181	 644.50   	 415 380.25   		481.713	0.94746
805.864	0.973589884	0.764359607	1.273732776	 645.00   	 416 025.00   		482.127	0.94616
806.6696	0.974499139	0.760400417	1.2815605	 645.50   	 416 670.25   		482.542	0.94537
807.4752	0.975504564	0.760001104	1.283556773	 646.00   	 417 316.00   		482.956	0.94463
808.2808	0.976514357	0.764804489	1.276815671	 646.50   	 417 962.25   		483.371	0.944
809.0864	0.977436715	0.773954332	1.262912649	 647.00   	 418 609.00   		483.785	0.94309
809.892	0.978179835	0.773033978	1.265377543	 647.50   	 419 256.25   		484.2	0.94173
