-134,0782  1,055099E-5  0  0,003789596  0,002071626
-134,8315  6,763559E-6  0  0,001912283  0,002904294
-135,5932  2,694458E-6  0  -0,0009114194  0,002010223
-136,3636  5,26948E-6  0  -0,003098408  -0,0001893641
-137,1429  9,811429E-6  0  -0,003480229  -0,00245667
-137,931  8,333222E-6  0  -0,00193959  -0,003439301
-138,7283  3,394196E-6  0  0,0005649435  -0,002470776
-139,5349  3,483086E-6  0  0,002582442  1,749306E-6
-140,3509  8,246824E-6  0  0,003011199  0,0026283
-141,1765  9,266876E-6  0  0,001709865  0,003903772
-142,0118  4,749447E-6  0  -0,00046512  0,003033656
-142,8571  2,496882E-6  0  -0,002199096  0,0004184234
-143,7126  6,251962E-6  0  -0,002504749  -0,002534619
-144,5783  9,313608E-6  0  -0,001287962  -0,004181647
-145,4545  6,308179E-6  0  0,0006318881  -0,003567273
-146,3415  2,440977E-6  0  0,002044927  -0,0009793184
-147,2393  4,303598E-6  0  0,002093643  0,002189007
-148,1481  8,467843E-6  0  0,000787127  0,004202033
-149,0683  7,601E-6  0  -0,001019181  0,003946061
-150  3,200227E-6  0  -0,002160583  0,001553346
-150,9434  2,832458E-6  0  -0,001888376  -0,001667445
-151,8987  6,952857E-6  0  -0,0003414194  -0,003957228
-152,8662  8,262582E-6  0  0,001525681  -0,004081656
-153,8462  4,461735E-6  0  0,002520173  -0,002008425
-154,8387  2,116287E-6  0  0,001949567  0,001090313
-155,8442  5,146563E-6  0  7,270483E-5  0,00350527
-156,8627  8,117474E-6  0  -0,002019354  0,003945186
-157,8947  5,809826E-6  0  -0,003036987  0,002240679
-158,9404  2,220167E-6  0  -0,002272407  -0,0005930228
-160  3,472904E-6  0  -6,032262E-5  -0,002956254
-161,0738  7,210619E-6  0  0,002369848  -0,003575068
-162,1622  6,840489E-6  0  0,003584331  -0,002200491
-163,2653  2,996136E-6  0  0,002787149  0,0002926081
-164,3836  2,289509E-6  0  0,0003209548  0,00244561
-165,5172  5,778695E-6  0  -0,002480823  0,003068232
-166,6667  7,264139E-6  0  -0,004026493  0,001905417
-167,8322  4,137861E-6  0  -0,003375664  -0,0002584994
-169,0141  1,801064E-6  0  -0,0008037833  -0,002100814
-170,2128  4,174102E-6  0  0,002314223  -0,002556761
-171,4286  6,970874E-6  0  0,004252289  -0,001436615
-172,6619  5,272029E-6  0  0,003900179  0,0004947514
-173,913  2,019008E-6  0  0,001402304  0,002009684
-175,1825  2,764975E-6  0  -0,0019004  0,002175558
-176,4706  6,044087E-6  0  -0,004202925  0,0009194775
-177,7778  6,059848E-6  0  -0,004237207  -0,0009382492
-179,1045  2,774495E-6  0  -0,00198007  -0,002198123
-180,4511  1,839104E-6  0  0,001331418  -0,002028925
-181,8182  4,722859E-6  0  0,003887222  -0,0004930839
-183,2061  6,281383E-6  0  0,004308356  0,001473526
-184,6154  3,777088E-6  0  0,002404165  0,002622921
-186,0465  1,536589E-6  0  -0,0007389888  0,002164316
-187,5  3,327033E-6  0  -0,00338029  0,0002758815
-188,9764  5,882048E-6  0  -0,004100352  -0,001960735
-190,4762  4,700165E-6  0  -0,002578227  -0,003181583
-192  1,826516E-6  0  0,0002623122  -0,002559826
-193,5484  2,167575E-6  0  0,002805754  -0,0003360367
-195,122  4,972121E-6  0  0,003669197  0,002270012
-196,7213  5,268488E-6  0  0,002466841  0,003736973
-198,3471  2,530201E-6  0  -1,363526E-5  0,003128708
-200  1,466981E-6  0  -0,002305745  0,0006738518
-201,6807  3,783323E-6  0  -0,003127213  -0,002313835
-203,3898  5,32472E-6  0  -0,002105166  -0,004150865
-205,1282  3,380958E-6  0  5,002698E-5  -0,003740004
-206,8966  1,309823E-6  0  0,002005879  -0,001220755
-208,6957  2,597506E-6  0  0,002615964  0,002069326
-210,5263  4,859177E-6  0  0,00159121  0,004318231
-212,3894  4,101527E-6  0  -0,0003584307  0,004250427
-214,2857  1,633875E-6  0  -0,001983856  0,001855339
-216,2162  1,668718E-6  0  -0,002271548  -0,001584853
-218,1818  3,998136E-6  0  -0,001062421  -0,004193784
-220,1835  4,477127E-6  0  0,0008578783  -0,004539741
-222,2222  2,26062E-6  0  0,002249468  -0,002432728
-224,2991  1,159865E-6  0  0,002190738  0,0009690747
-226,4151  2,957519E-6  0  0,0006621606  0,003804112
-228,5714  4,405148E-6  0  -0,001418566  0,004540963
-230,7692  2,953439E-6  0  -0,002741143  0,002820188
-233,0097  1,109474E-6  0  -0,002406369  -0,0003648814
-235,2941  1,977418E-6  0  -0,0005042188  -0,003242176
-237,6238  3,910398E-6  0  0,001893319  -0,004257811
-240  3,485447E-6  0  0,003340128  -0,002930275
-242,4242  1,434627E-6  0  0,00287819  -8,555153E-5
-244,898  1,256766E-6  0  0,0006440994  0,002645277
-247,4227  3,125091E-6  0  -0,002153857  0,00376491
-250  3,697886E-6  0  -0,003899055  0,002743277
-252,6316  1,965806E-6  0  -0,003501693  0,0002760797
-255,3191  9,056251E-7  0  -0,001064305  -0,002161677
-258,0645  2,242364E-6  0  0,002122944  -0,003190421
-260,8696  3,534322E-6  0  0,004278071  -0,002313225
-263,7363  2,501151E-6  0  0,004133004  -0,0001635478
-266,6667  9,262303E-7  0  0,001677477  0,001913969
-269,6629  1,458482E-6  0  -0,001794423  0,002685111
-272,7273  3,043831E-6  0  -0,004379698  0,00175572
-275,8621  2,863506E-6  0  -0,004623958  -0,0002204202
