-166,6667  7,971162E-6  0  -0,002760301  0,003762361
-167,8322  4,914623E-6  0  -0,003490481  0,001195872
-169,0141  2,969556E-6  0  -0,002147221  -0,001931687
-170,2128  5,340789E-6  0  0,0005679236  -0,003859299
-171,4286  7,699976E-6  0  0,003101525  -0,00355436
-172,6619  5,851998E-6  0  0,003940309  -0,001276893
-173,913  2,981217E-6  0  0,002507898  0,001605523
-175,1825  3,970772E-6  0  -0,0004622382  0,003430736
-176,4706  6,928863E-6  0  -0,003310711  0,003202942
-177,7778  6,617214E-6  0  -0,004388117  0,001144983
-179,1045  3,55783E-6  0  -0,003011213  -0,001468375
-180,4511  2,974587E-6  0  0,0001154276  -0,003084145
-181,8182  5,677148E-6  0  0,003268031  -0,002788533
-183,2061  6,803535E-6  0  0,004665879  -0,0008284157
-184,6154  4,351818E-6  0  0,003484816  0,001562727
-186,0465  2,540847E-6  0  0,0003418561  0,002920938
-187,5  4,375662E-6  0  -0,003033498  0,002434288
-188,9764  6,511805E-6  0  -0,004763205  0,0004253403
-190,4762  5,174461E-6  0  -0,003877193  -0,001851849
-192  2,648934E-6  0  -0,0008629593  -0,002976283
-193,5484  3,189297E-6  0  0,002605601  -0,002227098
-195,122  5,671776E-6  0  0,004608091  -3,175253E-5
-196,7213  5,68204E-6  0  0,004054  0,002277983
-198,3471  3,17965E-6  0  0,001286517  0,003262897
-200  2,439215E-6  0  -0,002125038  0,002253694
-201,6807  4,592784E-6  0  -0,00428059  -0,0002183648
-203,3898  5,770927E-6  0  -0,004019339  -0,002705832
-205,1282  3,876299E-6  0  -0,001556729  -0,003690042
-206,8966  2,137824E-6  0  0,001666527  -0,002494396
-208,6957  3,434542E-6  0  0,003825351  0,000277803
-210,5263  5,369162E-6  0  0,003751136  0,003054646
-212,3894  4,521604E-6  0  0,001575755  0,004192265
-214,2857  2,340843E-6  0  -0,001381321  0,002943182
-216,2162  2,519382E-6  0  -0,003402545  -7,19615E-5
-218,1818  4,586108E-6  0  -0,003370321  -0,003179621
-220,1835  4,830171E-6  0  -0,001393371  -0,004592048
-222,2222  2,779197E-6  0  0,001293449  -0,003438551
-224,2991  1,938198E-6  0  0,003082741  -0,0002931837
-226,4151  3,652518E-6  0  0,002948772  0,003117397
-228,5714  4,834113E-6  0  0,001039077  0,004874107
-230,7692  3,381017E-6  0  -0,001439138  0,00395417
-233,0097  1,769882E-6  0  -0,002960792  0,0008267626
-235,2941  2,678086E-6  0  -0,00260532  -0,002791595
-237,6238  4,376616E-6  0  -0,0006082396  -0,004892083
-240  3,83089E-6  0  0,001786264  -0,004302203
-242,4242  1,958533E-6  0  0,003082435  -0,001348244
-244,898  1,931596E-6  0  0,002445873  0,00232598
-247,4227  3,650886E-6  0  0,0002232899  0,00468286
-250  4,021089E-6  0  -0,002248243  0,00443397
-252,6316  2,37297E-6  0  -0,003436998  0,001755169
-255,3191  1,533655E-6  0  -0,002547466  -0,001828129
-258,0645  2,842007E-6  0  -2,822978E-5  -0,00431417
-260,8696  3,889661E-6  0  0,002658092  -0,00435494
-263,7363  2,788901E-6  0  0,003882841  -0,002000073
-266,6667  1,407081E-6  0  0,00282585  0,001361768
-269,6629  2,038605E-6  0  -1,606263E-6  0,003818154
-272,7273  3,456074E-6  0  -0,003009353  0,004027837
-275,8621  3,137593E-6  0  -0,004429094  0,001965676
-279,0698  1,624017E-6  0  -0,003350286  -0,001101587
-282,3529  1,466859E-6  0  -0,0002856962  -0,003379135
-285,7143  2,7876E-6  0  0,003077843  -0,003592369
-289,1566  3,180105E-6  0  0,004819808  -0,001708067
-292,6829  1,933959E-6  0  0,003888263  0,001083224
-296,2963  1,173744E-6  0  0,0007292343  0,003098656
-300  2,103797E-6  0  -0,002930704  0,003167159
-303,7975  2,988866E-6  0  -0,005040577  0,001311435
-307,6923  2,243563E-6  0  -0,004384589  -0,001289837
-311,6883  1,132626E-6  0  -0,001284803  -0,003028212
-315,7895  1,491625E-6  0  0,002560321  -0,002841269
-320  2,574066E-6  0  0,005019213  -0,0008534935
-324,3243  2,436106E-6  0  0,004722956  0,001700848
-328,7671  1,297038E-6  0  0,001836594  0,003227017
-333,3333  1,066721E-6  0  -0,002032642  0,002743009
-338,0282  2,020417E-6  0  -0,004739321  0,0004915014
-342,8571  2,408478E-6  0  -0,004803711  -0,002183199
-347,8261  1,527101E-6  0  -0,002233819  -0,003630253
-352,9412  8,657787E-7  0  0,001496888  -0,002892251
-358,209  1,470662E-6  0  0,004296528  -0,0003118581
-363,6364  2,186341E-6  0  0,004638705  0,002629235
-369,2308  1,72499E-6  0  0,002408427  0,004162473
-375  8,623299E-7  0  -0,00106501  0,003284966
-380,9524  1,019218E-6  0  -0,003793875  0,0003903657
-387,0968  1,814521E-6  0  -0,004274782  -0,002909374
-393,4426  1,801341E-6  0  -0,002329266  -0,004689985
-400  9,792159E-7  0  0,0008332515  -0,003835767
-406,7797  7,2201E-7  0  0,00335054  -0,0007229611
-413,7931  1,373535E-6  0  0,003800525  0,002946861
-421,0526  1,717922E-6  0  0,002012242  0,005089365
-428,5714  1,127698E-6  0  -0,0008708859  0,004428386
-436,3636  5,962733E-7  0  -0,003098151  0,001251739
-444,4444  9,606469E-7  0  -0,003360898  -0,002713884
-452,8302  1,490168E-6  0  -0,001560717  -0,005254872
-461,5385  1,218464E-6  0  0,001154058  -0,004918617
-470,5882  5,973789E-7  0  0,00309725  -0,001848413
-480  6,448416E-7  0  0,003070477  0,002276561
-489,7959  1,184211E-6  0  0,001090233  0,005171954
-500  1,218628E-6  0  -0,001619924  0,005228374
-510,6383  6,705637E-7  0  -0,003369482  0,002416907
-521,7391  4,506502E-7  0  -0,003031964  -0,001694348
-533,3333  8,515871E-7  0  -0,0007472537  -0,004823121
-545,4545  1,099336E-6  0  0,002133809  -0,005254666
-558,1395  7,371659E-7  0  0,003842496  -0,002796115
-571,4286  3,709503E-7  0  0,003259649  0,001134159
-585,3659  5,666835E-7  0  0,0006206534  0,004325517
-600  9,01815E-7  0  -0,002575504  0,005029243
-615,3846  7,555705E-7  0  -0,004420803  0,00293171
-631,5789  3,668042E-7  0  -0,003727761  -0,0007017728
-648,6486  3,598021E-7  0  -0,000769085  -0,003780972
-666,6667  6,660034E-7  0  0,002823974  -0,004597178
-685,7143  7,019631E-7  0  0,004970609  -0,00278421
-705,8824  3,90811E-7  0  0,004345978  0,0005120704
